indicator,sex,age_months,L,M,S
triceps_skinfold_for_age,M,114,-0.30,10.0,0.37
triceps_skinfold_for_age,M,126,-0.31,15.0,0.39
triceps_skinfold_for_age,M,138,-0.32,16.0,0.42
triceps_skinfold_for_age,M,150,-0.33,15.0,0.46
triceps_skinfold_for_age,M,162,-0.34,15.0,0.47
triceps_skinfold_for_age,M,174,-0.35,14.0,0.48
triceps_skinfold_for_age,M,186,-0.36,14.0,0.48
triceps_skinfold_for_age,M,198,-0.37,14.0,0.49
triceps_skinfold_for_age,M,210,-0.38,14.0,0.49
triceps_skinfold_for_age,F,114,-0.97,17.0,0.34
triceps_skinfold_for_age,F,126,-0.97,18.0,0.36
triceps_skinfold_for_age,F,138,-0.97,18.0,0.4
triceps_skinfold_for_age,F,150,-0.98,18.0,0.4
triceps_skinfold_for_age,F,162,-0.95,20.0,0.4
triceps_skinfold_for_age,F,174,-0.95,22.0,0.4
triceps_skinfold_for_age,F,186,-0.94,22.0,0.4
triceps_skinfold_for_age,F,198,-0.94,22.0,0.39
triceps_skinfold_for_age,F,210,-0.93,21.4,0.39
subscapular_skinfold_for_age,M,114,-0.06,10.0,0.35
subscapular_skinfold_for_age,M,126,-0.05,11.0,0.39
subscapular_skinfold_for_age,M,138,-0.03,12.0,0.4
subscapular_skinfold_for_age,M,150,-0.01,12.0,0.41
subscapular_skinfold_for_age,M,162,-0.01,12.0,0.41
subscapular_skinfold_for_age,M,174,-0.01,12.0,0.41
subscapular_skinfold_for_age,M,186,-0.03,13.0,0.41
subscapular_skinfold_for_age,M,198,-0.05,14.0,0.39
subscapular_skinfold_for_age,M,210,-0.06,15.0,0.39
subscapular_skinfold_for_age,F,114,-0.74,12.0,0.41
subscapular_skinfold_for_age,F,126,-0.71,14.0,0.4
subscapular_skinfold_for_age,F,138,-0.67,15.0,0.46
subscapular_skinfold_for_age,F,150,-0.58,15.0,0.47
subscapular_skinfold_for_age,F,162,-0.56,16.3,0.47
subscapular_skinfold_for_age,F,174,-0.45,18.0,0.47
subscapular_skinfold_for_age,F,186,-0.51,20.0,0.47
subscapular_skinfold_for_age,F,198,-0.47,21.0,0.46
subscapular_skinfold_for_age,F,210,-0.44,20.0,0.46
triceps_subscapular_sum_for_age,M,114,-0.30,23.0,0.37
triceps_subscapular_sum_for_age,M,126,-0.31,26.0,0.39
triceps_subscapular_sum_for_age,M,138,-0.32,26.0,0.42
triceps_subscapular_sum_for_age,M,150,-0.33,26.0,0.46
triceps_subscapular_sum_for_age,M,162,-0.34,25.5,0.47
triceps_subscapular_sum_for_age,M,174,-0.35,25.0,0.48
triceps_subscapular_sum_for_age,M,186,-0.36,26.0,0.48
triceps_subscapular_sum_for_age,M,198,-0.37,27.0,0.49
triceps_subscapular_sum_for_age,M,210,-0.38,28.0,0.49
triceps_subscapular_sum_for_age,F,114,-0.97,28.0,0.34
triceps_subscapular_sum_for_age,F,126,-0.97,30.0,0.36
triceps_subscapular_sum_for_age,F,138,-0.97,32.0,0.4
triceps_subscapular_sum_for_age,F,150,-0.98,32.0,0.4
triceps_subscapular_sum_for_age,F,162,-0.95,33.0,0.4
triceps_subscapular_sum_for_age,F,174,-0.95,36.0,0.4
triceps_subscapular_sum_for_age,F,186,-0.94,40.0,0.4
triceps_subscapular_sum_for_age,F,198,-0.94,42.0,0.39
triceps_subscapular_sum_for_age,F,210,-0.93,40.0,0.39
