sex,age_months,L,M,S
M,61.5,-0.7387,15.2641,0.0839
M,62.5,-0.7621,15.2616,0.08414
M,63.5,-0.7856,15.2604,0.08439
M,64.5,-0.8089,15.2605,0.08464
M,65.5,-0.8322,15.2619,0.0849
M,66.5,-0.8554,15.2645,0.08516
M,67.5,-0.8785,15.2684,0.08543
M,68.5,-0.9015,15.2737,0.0857
M,69.5,-0.9243,15.2801,0.08597
M,70.5,-0.9471,15.2877,0.08625
M,71.5,-0.9697,15.2965,0.08653
M,72.5,-0.9921,15.3062,0.08682
M,73.5,-1.0144,15.3169,0.08711
M,74.5,-1.0365,15.3285,0.08741
M,75.5,-1.0584,15.3408,0.08771
M,76.5,-1.0801,15.354,0.08802
M,77.5,-1.1017,15.3679,0.08833
M,78.5,-1.123,15.3825,0.08865
M,79.5,-1.1441,15.3978,0.08898
M,80.5,-1.1649,15.4137,0.08931
M,81.5,-1.1856,15.4302,0.08964
M,82.5,-1.206,15.4473,0.08998
M,83.5,-1.2261,15.465,0.09033
M,84.5,-1.246,15.4832,0.09068
M,85.5,-1.2656,15.5019,0.09103
M,86.5,-1.2849,15.521,0.09139
M,87.5,-1.304,15.5407,0.09176
M,88.5,-1.3228,15.5608,0.09213
M,89.5,-1.3414,15.5814,0.09251
M,90.5,-1.3596,15.6023,0.09289
M,91.5,-1.3776,15.6237,0.09327
M,92.5,-1.3953,15.6455,0.09366
M,93.5,-1.4126,15.6677,0.09406
M,94.5,-1.4297,15.6903,0.09445
M,95.5,-1.4464,15.7133,0.09486
M,96.5,-1.4629,15.7368,0.09526
M,97.5,-1.479,15.7606,0.09567
M,98.5,-1.4947,15.7848,0.09609
M,99.5,-1.5101,15.8094,0.09651
M,100.5,-1.5252,15.8344,0.09693
M,101.5,-1.5399,15.8597,0.09735
M,102.5,-1.5542,15.8855,0.09778
M,103.5,-1.5681,15.9116,0.09821
M,104.5,-1.5817,15.9381,0.09864
M,105.5,-1.5948,15.9651,0.09907
M,106.5,-1.6076,15.9925,0.09951
M,107.5,-1.6199,16.0205,0.09994
M,108.5,-1.6318,16.049,0.10038
M,109.5,-1.6433,16.0781,0.10082
M,110.5,-1.6544,16.1078,0.10126
M,111.5,-1.6651,16.1381,0.1017
M,112.5,-1.6753,16.1692,0.10214
M,113.5,-1.6851,16.2009,0.10259
M,114.5,-1.6944,16.2333,0.10303
M,115.5,-1.7032,16.2665,0.10347
M,116.5,-1.7116,16.3004,0.10391
M,117.5,-1.7196,16.3351,0.10435
M,118.5,-1.7271,16.3704,0.10478
M,119.5,-1.7341,16.4065,0.10522
M,120.5,-1.7407,16.4433,0.10566
M,121.5,-1.7468,16.4807,0.10609
M,122.5,-1.7525,16.5189,0.10652
M,123.5,-1.7578,16.5578,0.10695
M,124.5,-1.7626,16.5974,0.10738
M,125.5,-1.767,16.6376,0.1078
M,126.5,-1.771,16.6786,0.10823
M,127.5,-1.7745,16.7203,0.10865
M,128.5,-1.7777,16.7628,0.10906
M,129.5,-1.7804,16.8059,0.10948
M,130.5,-1.7828,16.8497,0.10989
M,131.5,-1.7847,16.8941,0.1103
M,132.5,-1.7862,16.9392,0.1107
M,133.5,-1.7873,16.985,0.1111
M,134.5,-1.7881,17.0314,0.1115
M,135.5,-1.7884,17.0784,0.11189
M,136.5,-1.7884,17.1262,0.11228
M,137.5,-1.788,17.1746,0.11266
M,138.5,-1.7873,17.2236,0.11304
M,139.5,-1.7861,17.2734,0.11342
M,140.5,-1.7846,17.324,0.11379
M,141.5,-1.7828,17.3752,0.11415
M,142.5,-1.7806,17.4272,0.11451
M,143.5,-1.778,17.4799,0.11487
M,144.5,-1.7751,17.5334,0.11522
M,145.5,-1.7719,17.5877,0.11556
M,146.5,-1.7684,17.6427,0.1159
M,147.5,-1.7645,17.6985,0.11623
M,148.5,-1.7604,17.7551,0.11656
M,149.5,-1.7559,17.8124,0.11688
M,150.5,-1.7511,17.8704,0.1172
M,151.5,-1.7461,17.9292,0.11751
M,152.5,-1.7408,17.9887,0.11781
M,153.5,-1.7352,18.0488,0.11811
M,154.5,-1.7293,18.1096,0.11841
M,155.5,-1.7232,18.171,0.11869
M,156.5,-1.7168,18.233,0.11898
M,157.5,-1.7102,18.2955,0.11925
M,158.5,-1.7033,18.3586,0.11952
M,159.5,-1.6962,18.4221,0.11979
M,160.5,-1.6888,18.486,0.12005
M,161.5,-1.6811,18.5502,0.1203
M,162.5,-1.6732,18.6148,0.12055
M,163.5,-1.6651,18.6795,0.12079
M,164.5,-1.6568,18.7445,0.12102
M,165.5,-1.6482,18.8095,0.12125
M,166.5,-1.6394,18.8746,0.12148
M,167.5,-1.6304,18.9398,0.1217
M,168.5,-1.6211,19.005,0.12191
M,169.5,-1.6116,19.0701,0.12212
M,170.5,-1.602,19.1351,0.12233
M,171.5,-1.5921,19.2,0.12253
M,172.5,-1.5821,19.2648,0.12272
M,173.5,-1.5719,19.3294,0.12291
M,174.5,-1.5615,19.3937,0.1231
M,175.5,-1.551,19.4578,0.12328
M,176.5,-1.5403,19.5217,0.12346
M,177.5,-1.5294,19.5853,0.12363
M,178.5,-1.5185,19.6486,0.1238
M,179.5,-1.5074,19.7117,0.12396
M,180.5,-1.4961,19.7744,0.12412
M,181.5,-1.4848,19.8367,0.12428
M,182.5,-1.4733,19.8987,0.12443
M,183.5,-1.4617,19.9603,0.12458
M,184.5,-1.45,20.0215,0.12473
M,185.5,-1.4382,20.0823,0.12487
M,186.5,-1.4263,20.1427,0.12501
M,187.5,-1.4143,20.2026,0.12514
M,188.5,-1.4022,20.2621,0.12528
M,189.5,-1.39,20.3211,0.12541
M,190.5,-1.3777,20.3796,0.12554
M,191.5,-1.3653,20.4376,0.12567
M,192.5,-1.3529,20.4951,0.12579
M,193.5,-1.3403,20.5521,0.12591
M,194.5,-1.3277,20.6085,0.12603
M,195.5,-1.3149,20.6644,0.12615
M,196.5,-1.3021,20.7197,0.12627
M,197.5,-1.2892,20.7745,0.12638
M,198.5,-1.2762,20.8287,0.1265
M,199.5,-1.2631,20.8824,0.12661
M,200.5,-1.2499,20.9355,0.12672
M,201.5,-1.2366,20.9881,0.12683
M,202.5,-1.2233,21.04,0.12694
M,203.5,-1.2098,21.0914,0.12704
M,204.5,-1.1962,21.1423,0.12715
M,205.5,-1.1826,21.1925,0.12726
M,206.5,-1.1688,21.2423,0.12736
M,207.5,-1.155,21.2914,0.12746
M,208.5,-1.141,21.34,0.12756
M,209.5,-1.127,21.388,0.12767
M,210.5,-1.1129,21.4354,0.12777
M,211.5,-1.0986,21.4822,0.12787
M,212.5,-1.0843,21.5285,0.12797
M,213.5,-1.0699,21.5742,0.12807
M,214.5,-1.0553,21.6193,0.12816
M,215.5,-1.0407,21.6638,0.12826
M,216.5,-1.026,21.7077,0.12836
M,217.5,-1.0112,21.751,0.12845
M,218.5,-0.9962,21.7937,0.12855
M,219.5,-0.9812,21.8358,0.12864
M,220.5,-0.9661,21.8773,0.12874
M,221.5,-0.9509,21.9182,0.12883
M,222.5,-0.9356,21.9585,0.12893
M,223.5,-0.9202,21.9982,0.12902
M,224.5,-0.9048,22.0374,0.12911
M,225.5,-0.8892,22.076,0.1292
M,226.5,-0.8735,22.114,0.1293
M,227.5,-0.8578,22.1514,0.12939
M,228.5,-0.8419,22.1883,0.12948
F,61.5,-0.8886,15.2441,0.09692
F,62.5,-0.9068,15.2434,0.09738
F,63.5,-0.9248,15.2433,0.09783
F,64.5,-0.9427,15.2438,0.09829
F,65.5,-0.9605,15.2448,0.09875
F,66.5,-0.978,15.2464,0.0992
F,67.5,-0.9954,15.2487,0.09966
F,68.5,-1.0126,15.2516,0.10012
F,69.5,-1.0296,15.2551,0.10058
F,70.5,-1.0464,15.2592,0.10104
F,71.5,-1.063,15.2641,0.10149
F,72.5,-1.0794,15.2697,0.10195
F,73.5,-1.0956,15.276,0.10241
F,74.5,-1.1115,15.2831,0.10287
F,75.5,-1.1272,15.2911,0.10333
F,76.5,-1.1427,15.2998,0.10379
F,77.5,-1.1579,15.3095,0.10425
F,78.5,-1.1728,15.32,0.10471
F,79.5,-1.1875,15.3314,0.10517
F,80.5,-1.2019,15.3439,0.10562
F,81.5,-1.216,15.3572,0.10608
F,82.5,-1.2298,15.3717,0.10654
F,83.5,-1.2433,15.3871,0.107
