sex,age_months,L,M,S
M,61.5,1,110.2647,0.04164
M,62.5,1,110.8006,0.04172
M,63.5,1,111.3338,0.0418
M,64.5,1,111.8636,0.04187
M,65.5,1,112.3895,0.04195
M,66.5,1,112.911,0.04203
M,67.5,1,113.428,0.04211
M,68.5,1,113.941,0.04218
M,69.5,1,114.45,0.04226
M,70.5,1,114.9547,0.04234
M,71.5,1,115.4549,0.04241
M,72.5,1,115.9509,0.04249
M,73.5,1,116.4432,0.04257
M,74.5,1,116.9325,0.04264
M,75.5,1,117.4196,0.04272
M,76.5,1,117.9046,0.0428
M,77.5,1,118.388,0.04287
M,78.5,1,118.87,0.04295
M,79.5,1,119.3508,0.04303
M,80.5,1,119.8303,0.04311
M,81.5,1,120.3085,0.04318
M,82.5,1,120.7853,0.04326
M,83.5,1,121.2604,0.04334
M,84.5,1,121.7338,0.04342
M,85.5,1,122.2053,0.0435
M,86.5,1,122.675,0.04358
M,87.5,1,123.1429,0.04366
M,88.5,1,123.6092,0.04374
M,89.5,1,124.0736,0.04382
M,90.5,1,124.5361,0.0439
M,91.5,1,124.9964,0.04398
M,92.5,1,125.4545,0.04406
M,93.5,1,125.9104,0.04414
M,94.5,1,126.364,0.04422
M,95.5,1,126.8156,0.0443
M,96.5,1,127.2651,0.04438
M,97.5,1,127.7129,0.04446
M,98.5,1,128.159,0.04454
M,99.5,1,128.6034,0.04462
M,100.5,1,129.0466,0.0447
M,101.5,1,129.4887,0.04478
M,102.5,1,129.93,0.04487
M,103.5,1,130.3705,0.04495
M,104.5,1,130.8103,0.04503
M,105.5,1,131.2495,0.04511
M,106.5,1,131.6884,0.04519
M,107.5,1,132.1269,0.04527
M,108.5,1,132.5652,0.04535
M,109.5,1,133.0031,0.04543
M,110.5,1,133.4404,0.04551
M,111.5,1,133.877,0.04559
M,112.5,1,134.313,0.04566
M,113.5,1,134.7483,0.04574
M,114.5,1,135.1829,0.04582
M,115.5,1,135.6168,0.04589
M,116.5,1,136.0501,0.04597
M,117.5,1,136.4829,0.04604
M,118.5,1,136.9153,0.04612
M,119.5,1,137.3474,0.04619
M,120.5,1,137.7795,0.04626
M,121.5,1,138.2119,0.04633
M,122.5,1,138.6452,0.0464
M,123.5,1,139.0797,0.04647
M,124.5,1,139.5158,0.04654
M,125.5,1,139.954,0.04661
M,126.5,1,140.3948,0.04667
M,127.5,1,140.8387,0.04674
M,128.5,1,141.2859,0.0468
M,129.5,1,141.7368,0.04686
M,130.5,1,142.1916,0.04692
M,131.5,1,142.6501,0.04698
M,132.5,1,143.1126,0.04703
M,133.5,1,143.5795,0.04709
M,134.5,1,144.0511,0.04714
M,135.5,1,144.5276,0.04719
M,136.5,1,145.0093,0.04723
M,137.5,1,145.4964,0.04728
M,138.5,1,145.9891,0.04732
M,139.5,1,146.4878,0.04736
M,140.5,1,146.9927,0.0474
M,141.5,1,147.5041,0.04744
M,142.5,1,148.0224,0.04747
M,143.5,1,148.5478,0.0475
M,144.5,1,149.0807,0.04753
M,145.5,1,149.6212,0.04755
M,146.5,1,150.1694,0.04758
M,147.5,1,150.7256,0.04759
M,148.5,1,151.2899,0.04761
M,149.5,1,151.8623,0.04762
M,150.5,1,152.4425,0.04763
M,151.5,1,153.0298,0.04763
M,152.5,1,153.6234,0.04764
M,153.5,1,154.2223,0.04763
M,154.5,1,154.8258,0.04763
M,155.5,1,155.4329,0.04762
M,156.5,1,156.0426,0.0476
M,157.5,1,156.6539,0.04758
M,158.5,1,157.266,0.04756
M,159.5,1,157.8775,0.04754
M,160.5,1,158.4871,0.04751
M,161.5,1,159.0937,0.04747
M,162.5,1,159.6962,0.04744
M,163.5,1,160.2939,0.0474
M,164.5,1,160.8861,0.04735
M,165.5,1,161.472,0.0473
M,166.5,1,162.0505,0.04725
M,167.5,1,162.6207,0.0472
M,168.5,1,163.1816,0.04714
M,169.5,1,163.7321,0.04707
M,170.5,1,164.2717,0.04701
M,171.5,1,164.7994,0.04694
M,172.5,1,165.3145,0.04687
M,173.5,1,165.8165,0.04679
M,174.5,1,166.305,0.04671
M,175.5,1,166.7799,0.04663
M,176.5,1,167.2415,0.04655
M,177.5,1,167.6899,0.04646
M,178.5,1,168.1255,0.04637
M,179.5,1,168.5482,0.04628
M,180.5,1,168.958,0.04619
M,181.5,1,169.3549,0.04609
M,182.5,1,169.7389,0.04599
M,183.5,1,170.1099,0.04589
M,184.5,1,170.468,0.04579
M,185.5,1,170.8136,0.04569
M,186.5,1,171.1468,0.04559
M,187.5,1,171.468,0.04548
M,188.5,1,171.7773,0.04538
M,189.5,1,172.0748,0.04527
M,190.5,1,172.3606,0.04516
M,191.5,1,172.6345,0.04506
M,192.5,1,172.8967,0.04495
M,193.5,1,173.147,0.04484
M,194.5,1,173.3856,0.04473
M,195.5,1,173.6126,0.04462
M,196.5,1,173.828,0.04451
M,197.5,1,174.0321,0.0444
M,198.5,1,174.2251,0.04429
M,199.5,1,174.4071,0.04418
M,200.5,1,174.5784,0.04407
M,201.5,1,174.7392,0.04396
M,202.5,1,174.8896,0.04385
M,203.5,1,175.0301,0.04375
M,204.5,1,175.1609,0.04364
M,205.5,1,175.2824,0.04353
M,206.5,1,175.3951,0.04343
M,207.5,1,175.4995,0.04332
M,208.5,1,175.5959,0.04322
M,209.5,1,175.685,0.04311
M,210.5,1,175.7672,0.04301
M,211.5,1,175.8432,0.04291
M,212.5,1,175.9133,0.04281
M,213.5,1,175.9781,0.04271
M,214.5,1,176.038,0.04261
M,215.5,1,176.0935,0.04251
M,216.5,1,176.1449,0.04241
M,217.5,1,176.1925,0.04232
M,218.5,1,176.2368,0.04222
M,219.5,1,176.2779,0.04213
M,220.5,1,176.3162,0.04204
M,221.5,1,176.3518,0.04195
M,222.5,1,176.3851,0.04185
M,223.5,1,176.4162,0.04177
M,224.5,1,176.4453,0.04168
