sex,age_months,L,M,S
M,61.5,-0.2026,18.5057,0.12988
M,62.5,-0.213,18.6802,0.13028
M,63.5,-0.2234,18.8563,0.13067
M,64.5,-0.2338,19.034,0.13105
M,65.5,-0.2443,19.2132,0.13142
M,66.5,-0.2548,19.394,0.13178
M,67.5,-0.2653,19.5765,0.13213
M,68.5,-0.2758,19.7607,0.13246
M,69.5,-0.2864,19.9468,0.13279
M,70.5,-0.2969,20.1344,0.13311
M,71.5,-0.3075,20.3235,0.13342
M,72.5,-0.318,20.5137,0.13372
M,73.5,-0.3285,20.7052,0.13402
M,74.5,-0.339,20.8979,0.13432
M,75.5,-0.3494,21.0918,0.13462
M,76.5,-0.3598,21.287,0.13493
M,77.5,-0.3701,21.4833,0.13523
M,78.5,-0.3804,21.681,0.13554
M,79.5,-0.3906,21.8799,0.13586
M,80.5,-0.4007,22.08,0.13618
M,81.5,-0.4107,22.2813,0.13652
M,82.5,-0.4207,22.4837,0.13686
M,83.5,-0.4305,22.6872,0.13722
M,84.5,-0.4402,22.8915,0.13759
M,85.5,-0.4499,23.0968,0.13797
M,86.5,-0.4594,23.3029,0.13838
M,87.5,-0.4688,23.5101,0.1388
M,88.5,-0.4781,23.7182,0.13923
M,89.5,-0.4873,23.9272,0.13969
M,90.5,-0.4964,24.1371,0.14016
M,91.5,-0.5053,24.3479,0.14065
M,92.5,-0.5142,24.5595,0.14117
M,93.5,-0.5229,24.7722,0.1417
M,94.5,-0.5315,24.9858,0.14226
M,95.5,-0.5399,25.2005,0.14284
M,96.5,-0.5482,25.4163,0.14344
M,97.5,-0.5564,25.6332,0.14407
M,98.5,-0.5644,25.8513,0.14472
M,99.5,-0.5722,26.0706,0.14539
M,100.5,-0.5799,26.2911,0.14608
M,101.5,-0.5873,26.5128,0.14679
M,102.5,-0.5946,26.7358,0.14752
M,103.5,-0.6017,26.9602,0.14828
M,104.5,-0.6085,27.1861,0.14905
M,105.5,-0.6152,27.4137,0.14984
M,106.5,-0.6216,27.6432,0.15066
M,107.5,-0.6278,27.875,0.15149
M,108.5,-0.6337,28.1092,0.15233
M,109.5,-0.6393,28.3459,0.15319
M,110.5,-0.6446,28.5854,0.15406
M,111.5,-0.6496,28.8277,0.15493
M,112.5,-0.6543,29.0731,0.15581
M,113.5,-0.6585,29.3217,0.1567
M,114.5,-0.6624,29.5736,0.1576
M,115.5,-0.6659,29.8289,0.1585
M,116.5,-0.6689,30.0877,0.1594
M,117.5,-0.6714,30.3501,0.16031
M,118.5,-0.6735,30.616,0.16122
M,119.5,-0.6752,30.8854,0.16213
M,120.5,-0.6764,31.1586,0.16305
F,61.5,-0.4681,18.2579,0.14295
F,62.5,-0.4711,18.4329,0.1435
F,63.5,-0.4742,18.6073,0.14404
F,64.5,-0.4773,18.7811,0.14459
F,65.5,-0.4803,18.9545,0.14514
F,66.5,-0.4834,19.1276,0.14569
F,67.5,-0.4864,19.3004,0.14624
F,68.5,-0.4894,19.473,0.14679
F,69.5,-0.4924,19.6455,0.14735
F,70.5,-0.4954,19.818,0.1479
F,71.5,-0.4984,19.9908,0.14845
F,72.5,-0.5013,20.1639,0.149
F,73.5,-0.5043,20.3377,0.14955
F,74.5,-0.5072,20.5124,0.1501
F,75.5,-0.51,20.6885,0.15065
F,76.5,-0.5129,20.8661,0.1512
F,77.5,-0.5157,21.0457,0.15175
F,78.5,-0.5185,21.2274,0.1523
F,79.5,-0.5213,21.4113,0.15284
F,80.5,-0.524,21.5979,0.15339
F,81.5,-0.5268,21.7872,0.15393
F,82.5,-0.5294,21.9795,0.15448
F,83.5,-0.5321,22.1751,0.15502
F,84.5,-0.5347,22.374,0.15556
F,85.5,-0.5372,22.5762,0.1561
F,86.5,-0.5398,22.7816,0.15663
F,87.5,-0.5423,22.9904,0.15717
F,88.5,-0.5447,23.2025,0.1577
F,89.5,-0.5471,23.418,0.15823
F,90.5,-0.5495,23.6369,0.15876
F,91.5,-0.5518,23.8593,0.15928
F,92.5,-0.5541,24.0853,0.1598
F,93.5,-0.5563,24.3149,0.16032
F,94.5,-0.5585,24.5482,0.16084
F,95.5,-0.5606,24.7853,0.16135
F,96.5,-0.5627,25.0262,0.16186
F,97.5,-0.5647,25.271,0.16237
F,98.5,-0.5667,25.5197,0.16287
F,99.5,-0.5686,25.7721,0.16337
F,100.5,-0.5704,26.0284,0.16386
F,101.5,-0.5722,26.2883,0.16435
F,102.5,-0.574,26.5519,0.16483
F,103.5,-0.5757,26.819,0.16532
F,104.5,-0.5773,27.0896,0.16579
F,105.5,-0.5789,27.3635,0.16626
F,106.5,-0.5804,27.6406,0.16673
F,107.5,-0.5819,27.9208,0.16719
F,108.5,-0.5833,28.204,0.16764
F,109.5,-0.5847,28.4901,0.16809
F,110.5,-0.5859,28.7791,0.16854
F,111.5,-0.5872,29.0711,0.16897
F,112.5,-0.5883,29.3663,0.16941
F,113.5,-0.5895,29.6646,0.16983
F,114.5,-0.5905,29.9663,0.17025
F,115.5,-0.5915,30.2715,0.17066
F,116.5,-0.5925,30.5805,0.17107
F,117.5,-0.5934,30.8934,0.17146
F,118.5,-0.5942,31.2105,0.17186
F,119.5,-0.595,31.5319,0.17224
F,120.5,-0.5958,31.8578,0.17262
